split,group_field,group_value,threshold,rows,positive_labels,negative_labels,gray_labels,precision,recall,f1,pr_auc
holdout,source_bucket,natural,0.8,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,source_bucket,natural,0.9,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,source_bucket,natural,0.95,1202,144,44,1014,0.9928571428571429,0.9652777777777778,0.9788732394366197,0.9972980582436479
holdout,source_bucket,random_off_policy,0.8,1202,360,44,798,0.9888579387186629,0.9861111111111112,0.9874826147426982,0.9996399914257907
holdout,source_bucket,random_off_policy,0.9,1202,360,44,798,0.9888268156424581,0.9833333333333333,0.9860724233983287,0.9996399914257907
holdout,source_bucket,random_off_policy,0.95,1202,360,44,798,0.9915966386554622,0.9833333333333333,0.9874476987447698,0.9996399914257907
holdout,bucket_group,natural,0.8,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,bucket_group,natural,0.9,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,bucket_group,natural,0.95,1202,144,44,1014,0.9928571428571429,0.9652777777777778,0.9788732394366197,0.9972980582436479
holdout,bucket_group,predicted_high_regret,0.8,1202,126,294,782,0.38596491228070173,0.5238095238095238,0.4444444444444444,0.5319976780065737
holdout,bucket_group,predicted_high_regret,0.9,1202,126,294,782,0.4295774647887324,0.48412698412698413,0.45522388059701496,0.5319976780065737
holdout,bucket_group,predicted_high_regret,0.95,1202,126,294,782,0.48717948717948717,0.4523809523809524,0.4691358024691358,0.5319976780065737
holdout,bucket_group,predicted_low_margin,0.8,1200,105,235,860,0.6198347107438017,0.7142857142857143,0.6637168141592921,0.7875710404632242
holdout,bucket_group,predicted_low_margin,0.9,1200,105,235,860,0.7156862745098039,0.6952380952380952,0.7053140096618358,0.7875710404632242
holdout,bucket_group,predicted_low_margin,0.95,1200,105,235,860,0.776595744680851,0.6952380952380952,0.7336683417085427,0.7875710404632242
holdout,bucket_group,predicted_teacher_disagreement,0.8,1200,80,220,900,0.6288659793814433,0.7625,0.6892655367231638,0.8240312904633286
holdout,bucket_group,predicted_teacher_disagreement,0.9,1200,80,220,900,0.7317073170731707,0.75,0.7407407407407408,0.8240312904633286
holdout,bucket_group,predicted_teacher_disagreement,0.95,1200,80,220,900,0.7692307692307693,0.75,0.7594936708860761,0.8240312904633286
holdout,bucket_group,random_off_policy,0.8,1202,360,44,798,0.9888579387186629,0.9861111111111112,0.9874826147426982,0.9996399914257907
holdout,bucket_group,random_off_policy,0.9,1202,360,44,798,0.9888268156424581,0.9833333333333333,0.9860724233983287,0.9996399914257907
holdout,bucket_group,random_off_policy,0.95,1202,360,44,798,0.9915966386554622,0.9833333333333333,0.9874476987447698,0.9996399914257907
holdout,actual_high_regret,False,0.8,4519,77,770,3672,0.2987551867219917,0.935064935064935,0.45283018867924524,0.8187686540832988
holdout,actual_high_regret,False,0.9,4519,77,770,3672,0.375,0.935064935064935,0.5353159851301116,0.8187686540832988
holdout,actual_high_regret,False,0.95,4519,77,770,3672,0.45,0.935064935064935,0.6075949367088607,0.8187686540832988
holdout,actual_high_regret,True,0.8,1487,738,67,682,0.96,0.8455284552845529,0.899135446685879,0.9885280470003077
holdout,actual_high_regret,True,0.9,1487,738,67,682,0.968503937007874,0.8333333333333334,0.8958485069191552,0.9885280470003077
holdout,actual_high_regret,True,0.95,1487,738,67,682,0.9760383386581469,0.8279132791327913,0.8958944281524927,0.9885280470003077
holdout,actual_low_margin,False,0.8,3386,503,513,2370,0.7647058823529411,0.827037773359841,0.7946513849092646,0.9252276296634401
holdout,actual_low_margin,False,0.9,3386,503,513,2370,0.8147410358565738,0.8131212723658051,0.8139303482587065,0.9252276296634401
holdout,actual_low_margin,False,0.95,3386,503,513,2370,0.8550420168067226,0.8091451292246521,0.8314606741573034,0.9252276296634401
holdout,actual_low_margin,True,0.8,2620,312,324,1984,0.8069164265129684,0.8974358974358975,0.849772382397572,0.9469723322847243
holdout,actual_low_margin,True,0.9,2620,312,324,1984,0.8553846153846154,0.8910256410256411,0.8728414442700158,0.9469723322847243
holdout,actual_low_margin,True,0.95,2620,312,324,1984,0.8903225806451613,0.8846153846153846,0.887459807073955,0.9469723322847243
holdout,actual_teacher_disagreement,False,0.8,2350,0,508,1842,0.0,0.0,0.0,0.0
holdout,actual_teacher_disagreement,False,0.9,2350,0,508,1842,0.0,0.0,0.0,0.0
holdout,actual_teacher_disagreement,False,0.95,2350,0,508,1842,0.0,0.0,0.0,0.0
holdout,actual_teacher_disagreement,True,0.8,3656,815,329,2512,0.8934531450577664,0.8539877300613496,0.8732747804265998,0.9671291812485278
holdout,actual_teacher_disagreement,True,0.9,3656,815,329,2512,0.916,0.8429447852760736,0.8779552715654952,0.9671291812485278
holdout,actual_teacher_disagreement,True,0.95,3656,815,329,2512,0.9356164383561644,0.838036809815951,0.8841423948220065,0.9671291812485278
