split,gate_id,oracle_positive_count,runtime_fire_count,overlap_count,precision_vs_oracle,recall_vs_oracle,jaccard
test,m2.75_p0.95_k1,409,92,82,0.8913043478260869,0.20048899755501223,0.1957040572792363
test,m2.75_p0.95_k2,409,107,96,0.897196261682243,0.23471882640586797,0.22857142857142856
test,m2.75_p0.95_k3,409,107,96,0.897196261682243,0.23471882640586797,0.22857142857142856
test,m2.75_p0.95_k5,409,109,97,0.8899082568807339,0.2371638141809291,0.23040380047505937
holdout,m1.5_p0.8_k1,815,427,318,0.7447306791569087,0.3901840490797546,0.34415584415584416
holdout,m1.5_p0.8_k2,815,504,370,0.7341269841269841,0.4539877300613497,0.3898840885142255
holdout,m1.5_p0.8_k3,815,525,381,0.7257142857142858,0.46748466257668714,0.397288842544317
holdout,m1.5_p0.8_k5,815,538,392,0.7286245353159851,0.48098159509202454,0.40790842872008326
holdout,m1.5_p0.85_k1,815,423,316,0.7470449172576832,0.38773006134969323,0.34273318872017355
holdout,m1.5_p0.85_k2,815,498,368,0.7389558232931727,0.45153374233128835,0.38941798941798944
holdout,m1.5_p0.85_k3,815,516,379,0.7344961240310077,0.46503067484662575,0.39810924369747897
holdout,m1.5_p0.85_k5,815,529,390,0.7372400756143668,0.4785276073619632,0.4088050314465409
holdout,m1.5_p0.9_k1,815,412,313,0.7597087378640777,0.38404907975460123,0.3424507658643326
holdout,m1.5_p0.9_k2,815,485,365,0.7525773195876289,0.44785276073619634,0.39037433155080214
holdout,m1.5_p0.9_k3,815,503,376,0.7475149105367793,0.46134969325153374,0.3991507430997877
holdout,m1.5_p0.9_k5,815,516,387,0.75,0.47484662576687114,0.4099576271186441
holdout,m1.5_p0.95_k1,815,404,312,0.7722772277227723,0.38282208588957056,0.3439911797133407
holdout,m1.5_p0.95_k2,815,476,363,0.7626050420168067,0.44539877300613495,0.3911637931034483
holdout,m1.5_p0.95_k3,815,492,374,0.7601626016260162,0.4588957055214724,0.4008574490889603
holdout,m1.5_p0.95_k5,815,505,385,0.7623762376237624,0.4723926380368098,0.4117647058823529
holdout,m2_p0.8_k1,815,312,248,0.7948717948717948,0.3042944785276074,0.2821387940841866
holdout,m2_p0.8_k2,815,366,286,0.7814207650273224,0.350920245398773,0.3195530726256983
holdout,m2_p0.8_k3,815,376,288,0.7659574468085106,0.35337423312883437,0.31893687707641194
holdout,m2_p0.8_k5,815,384,294,0.765625,0.36073619631901843,0.32486187845303865
holdout,m2_p0.85_k1,815,309,246,0.7961165048543689,0.301840490797546,0.28018223234624146
holdout,m2_p0.85_k2,815,361,284,0.7867036011080333,0.34846625766871164,0.3183856502242152
holdout,m2_p0.85_k3,815,369,286,0.7750677506775068,0.350920245398773,0.3184855233853007
holdout,m2_p0.85_k5,815,377,292,0.7745358090185677,0.35828220858895704,0.3244444444444444
holdout,m2_p0.9_k1,815,305,244,0.8,0.29938650306748466,0.2785388127853881
holdout,m2_p0.9_k2,815,356,282,0.7921348314606742,0.3460122699386503,0.3172103487064117
holdout,m2_p0.9_k3,815,364,284,0.7802197802197802,0.34846625766871164,0.31731843575418994
holdout,m2_p0.9_k5,815,372,290,0.7795698924731183,0.3558282208588957,0.3232998885172798
holdout,m2_p0.95_k1,815,300,243,0.81,0.298159509202454,0.2786697247706422
holdout,m2_p0.95_k2,815,351,281,0.8005698005698005,0.34478527607361964,0.31751412429378534
holdout,m2_p0.95_k3,815,357,283,0.7927170868347339,0.347239263803681,0.31833520809898763
holdout,m2_p0.95_k5,815,365,289,0.7917808219178082,0.35460122699386504,0.32435465768799104
holdout,m2.25_p0.8_k1,815,273,221,0.8095238095238095,0.27116564417177913,0.2549019607843137
holdout,m2.25_p0.8_k2,815,318,254,0.7987421383647799,0.3116564417177914,0.28896473265073946
holdout,m2.25_p0.8_k3,815,327,256,0.7828746177370031,0.3141104294478528,0.28893905191873587
holdout,m2.25_p0.8_k5,815,331,258,0.7794561933534743,0.3165644171779141,0.2905405405405405
holdout,m2.25_p0.85_k1,815,270,219,0.8111111111111111,0.2687116564417178,0.2528868360277136
holdout,m2.25_p0.85_k2,815,313,252,0.805111821086262,0.30920245398773005,0.2876712328767123
holdout,m2.25_p0.85_k3,815,321,254,0.7912772585669782,0.3116564417177914,0.28798185941043086
holdout,m2.25_p0.85_k5,815,325,256,0.7876923076923077,0.3141104294478528,0.2895927601809955
holdout,m2.25_p0.9_k1,815,266,217,0.8157894736842105,0.26625766871165646,0.2511574074074074
holdout,m2.25_p0.9_k2,815,308,250,0.8116883116883117,0.3067484662576687,0.286368843069874
holdout,m2.25_p0.9_k3,815,316,252,0.7974683544303798,0.30920245398773005,0.28668941979522183
holdout,m2.25_p0.9_k5,815,320,254,0.79375,0.3116564417177914,0.2883087400681044
holdout,m2.25_p0.95_k1,815,261,216,0.8275862068965517,0.2650306748466258,0.25116279069767444
holdout,m2.25_p0.95_k2,815,303,249,0.8217821782178217,0.30552147239263805,0.286536248561565
holdout,m2.25_p0.95_k3,815,309,251,0.8122977346278317,0.3079754601226994,0.28751431844215347
