split,gate_id,min_delta,safe_probability_threshold,candidate_ev_rank_max,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,oracle_precision,oracle_recall,oracle_jaccard,hard_negative_fired,first_fires,second_fires
holdout,m1.5_p0.9_k3,1.5,0.9,3,6006,503,0.08374958374958374,3.141965928063478,2.565835952758789,34,0.06759443339960239,0.46102914810180484,5.727459611892711,12.74428653717041,0.7475149105367793,0.46134969325153374,0.3991507430997877,5,234,269
holdout,m1.5_p0.9_k5,1.5,0.9,5,6006,516,0.08591408591408592,3.1207278582245803,2.5498234033584595,35,0.06782945736434108,0.47418177127838135,5.646072554588332,12.74428653717041,0.75,0.47484662576687114,0.4099576271186441,6,238,278
holdout,m1.5_p0.95_k1,1.5,0.95,1,6006,404,0.06726606726606726,3.4512106632389643,2.7106940746307373,21,0.05198019801980198,0.08831394910812024,4.5554494905471765,11.629940032958984,0.7722772277227723,0.38282208588957056,0.3439911797133407,3,202,202
holdout,m1.5_p0.95_k2,1.5,0.95,2,6006,476,0.07925407925407925,3.2156806992633,2.6066555976867676,30,0.06302521008403361,0.2542331591248512,5.748101472854614,12.74428653717041,0.7626050420168067,0.44539877300613495,0.3911637931034483,4,226,250
holdout,m1.5_p0.95_k3,1.5,0.95,3,6006,492,0.08191808191808192,3.1644268320585653,2.5986328125,31,0.06300813008130081,0.26264366656541777,5.7429041767120355,12.74428653717041,0.7601626016260162,0.4588957055214724,0.4008574490889603,4,228,264
holdout,m1.5_p0.95_k5,1.5,0.95,5,6006,505,0.08408258408258408,3.142147949308452,2.565835952758789,32,0.06336633663366337,0.2773620545864086,5.714938526153552,12.74428653717041,0.7623762376237624,0.4723926380368098,0.4117647058823529,5,232,273
holdout,m2_p0.8_k1,2.0,0.8,1,6006,312,0.05194805194805195,4.0306107596709175,3.239855647087097,14,0.04487179487179487,0.0,3.8666961765289107,11.629940032958984,0.7948717948717948,0.3042944785276074,0.2821387940841866,3,144,168
holdout,m2_p0.8_k2,2.0,0.8,2,6006,366,0.060939060939060936,3.7666087986830155,3.0573549270629883,21,0.05737704918032787,0.10244327783584595,4.222867012023933,12.74428653717041,0.7814207650273224,0.350920245398773,0.3195530726256983,4,158,208
holdout,m2_p0.8_k3,2.0,0.8,3,6006,376,0.06260406260406261,3.669283153687386,3.0079333782196045,24,0.06382978723404255,0.40932488441467285,4.599035620689392,12.74428653717041,0.7659574468085106,0.35337423312883437,0.31893687707641194,4,161,215
holdout,m2_p0.8_k5,2.0,0.8,5,6006,384,0.06393606393606394,3.6315168628158667,2.9865097999572754,25,0.06510416666666667,0.4570518970489475,4.544113936424266,12.74428653717041,0.765625,0.36073619631901843,0.32486187845303865,5,163,221
holdout,m2_p0.85_k1,2.0,0.85,1,6006,309,0.05144855144855145,4.058045687027348,3.2455692291259766,13,0.042071197411003236,0.0,3.910376243591332,11.629940032958984,0.7961165048543689,0.301840490797546,0.28018223234624146,3,142,167
holdout,m2_p0.85_k2,2.0,0.85,2,6006,361,0.060106560106560104,3.8204298847434925,3.1015625,18,0.04986149584487535,0.0,4.187075996398916,12.74428653717041,0.7867036011080333,0.34846625766871164,0.3183856502242152,4,156,205
holdout,m2_p0.85_k3,2.0,0.85,3,6006,369,0.06143856143856144,3.7439904528743204,3.0372302532196045,20,0.05420054200542006,0.13342550396919084,4.647092094421382,12.74428653717041,0.7750677506775068,0.350920245398773,0.3184855233853007,4,158,211
holdout,m2_p0.85_k5,2.0,0.85,5,6006,377,0.06277056277056277,3.703937630359311,3.024287223815918,21,0.05570291777188329,0.20037572383880348,4.592170410156256,12.74428653717041,0.7745358090185677,0.35828220858895704,0.3244444444444444,5,160,217
holdout,m2_p0.9_k1,2.0,0.9,1,6006,305,0.050782550782550784,4.085453124515346,3.268540382385254,12,0.03934426229508197,0.0,3.9686163330077826,11.629940032958984,0.8,0.29938650306748466,0.2785388127853881,3,140,165
holdout,m2_p0.9_k2,2.0,0.9,2,6006,356,0.05927405927405927,3.8562164262272,3.16796875,16,0.0449438202247191,0.0,4.207103443145748,12.74428653717041,0.7921348314606742,0.3460122699386503,0.3172103487064117,4,153,203
holdout,m2_p0.9_k3,2.0,0.9,3,6006,364,0.06060606060606061,3.7779404847667766,3.078778862953186,18,0.04945054945054945,0.0,4.681418147087101,12.74428653717041,0.7802197802197802,0.34846625766871164,0.31731843575418994,4,155,209
holdout,m2_p0.9_k5,2.0,0.9,5,6006,372,0.061938061938061936,3.7366192096503834,3.0322870016098022,19,0.051075268817204304,0.04675444364547612,4.626496462821975,12.74428653717041,0.7795698924731183,0.3558282208588957,0.3232998885172798,5,157,215
holdout,m2_p0.95_k1,2.0,0.95,1,6006,300,0.04995004995004995,4.119295334418615,3.3053226470947266,10,0.03333333333333333,0.0,4.030861911773678,11.629940032958984,0.81,0.298159509202454,0.2786697247706422,2,136,164
holdout,m2_p0.95_k2,2.0,0.95,2,6006,351,0.05844155844155844,3.881875911923895,3.198918342590332,14,0.039886039886039885,0.0,4.227130889892578,12.74428653717041,0.8005698005698005,0.34478527607361964,0.31751412429378534,3,149,202
