candidate_id,group_type,group,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,avg_false_positive_cost,p90_loss,p95_loss,p99_loss,max_loss,positive_fire_count,negative_fire_count,missed_positive_count
confidence_lcb164_m2p0_r0_g0p75,run_bucket,predicted_high_regret_from_pool,1202,35,0.029118136439267885,5.296961171286447,3.709779739379883,0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,177
confidence_lcb164_m2p0_r0_g0p75,run_bucket,predicted_low_margin_from_pool,1200,36,0.03,4.7260419593917,3.5800259113311768,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,115
confidence_lcb164_m2p0_r0_g0p75,run_bucket,predicted_teacher_disagreement_from_pool,1200,31,0.025833333333333333,5.753329607748216,4.647266387939453,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,84
confidence_lcb164_m2p0_r0_g0p75,run_bucket,random_off_policy,1202,101,0.08402662229617304,3.098810063730372,2.886185884475708,0,0.0,0.0,0.0,0.0,0.0,0.0,101,0,301
confidence_lcb164_m2p0_r0_g0p75,predicted_bucket,natural,1202,109,0.09068219633943428,5.122685533051097,3.8246102333068848,0,0.0,0.0,0.0,0.0,0.0,0.0,109,0,47
confidence_lcb164_m2p0_r0_g0p75,predicted_bucket,predicted_high_regret,1202,35,0.029118136439267885,5.296961171286447,3.709779739379883,0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,177
confidence_lcb164_m2p0_r0_g0p75,predicted_bucket,predicted_low_margin,1200,36,0.03,4.7260419593917,3.5800259113311768,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,115
confidence_lcb164_m2p0_r0_g0p75,predicted_bucket,predicted_teacher_disagreement,1200,31,0.025833333333333333,5.753329607748216,4.647266387939453,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,84
confidence_lcb164_m2p0_r0_g0p75,predicted_bucket,random_off_policy,1202,101,0.08402662229617304,3.098810063730372,2.886185884475708,0,0.0,0.0,0.0,0.0,0.0,0.0,101,0,301
confidence_lcb164_m2p0_r0_g0p75,source_bucket_requested,unknown,6006,312,0.05194805194805195,4.503964451643137,3.443705201148987,0,0.0,0.0,0.0,0.0,0.0,0.0,312,0,724
confidence_lcb164_m2p0_r0_g0p75,source_bucket_actual,unknown,6006,312,0.05194805194805195,4.503964451643137,3.443705201148987,0,0.0,0.0,0.0,0.0,0.0,0.0,312,0,724
confidence_lcb164_m2p0_r0_g0p75,actual_high_regret,False,4519,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
confidence_lcb164_m2p0_r0_g0p75,actual_high_regret,True,1487,312,0.20981842636180228,4.503964451643137,3.443705201148987,0,0.0,0.0,0.0,0.0,0.0,0.0,312,0,625
confidence_lcb164_m2p0_r0_g0p75,actual_low_margin,False,3386,192,0.05670407560543414,4.991703392937779,3.8191630840301514,0,0.0,0.0,0.0,0.0,0.0,0.0,192,0,455
confidence_lcb164_m2p0_r0_g0p75,actual_low_margin,True,2620,120,0.04580152671755725,3.723582145571709,3.1576327085494995,0,0.0,0.0,0.0,0.0,0.0,0.0,120,0,269
confidence_lcb164_m2p0_r0_g0p75,actual_teacher_disagreement,False,2350,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
confidence_lcb164_m2p0_r0_g0p75,actual_teacher_disagreement,True,3656,312,0.08533916849015317,4.503964451643137,3.443705201148987,0,0.0,0.0,0.0,0.0,0.0,0.0,312,0,724
best_diagnostic_m2p5_r0_g0p7,c1e_split,enriched,4804,161,0.033513738551207324,4.019777741491424,3.5625,12,0.07453416149068323,1.752227544784546,0.0,0.9510221481323242,2.9585111618042093,5.772463798522949,149,12,739
best_diagnostic_m2p5_r0_g0p7,c1e_split,unbiased,1202,75,0.06239600665557404,6.163606643676758,4.715543746948242,1,0.013333333333333334,0.3492259979248047,0.0,0.0,0.090798759460451,0.3492259979248047,74,1,79
best_diagnostic_m2p5_r0_g0p7,run_bucket,natural,1202,75,0.06239600665557404,6.163606643676758,4.715543746948242,1,0.013333333333333334,0.3492259979248047,0.0,0.0,0.090798759460451,0.3492259979248047,74,1,79
best_diagnostic_m2p5_r0_g0p7,run_bucket,predicted_high_regret_from_pool,1202,51,0.042429284525790346,3.1999585792130114,2.709376096725464,10,0.19607843137254902,1.5359548211097718,1.0049433708190918,1.5059053301811218,4.008325576782227,5.772463798522949,41,10,179
best_diagnostic_m2p5_r0_g0p7,run_bucket,predicted_low_margin_from_pool,1200,27,0.0225,4.861638391459429,3.669950485229492,0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,125
best_diagnostic_m2p5_r0_g0p7,run_bucket,predicted_teacher_disagreement_from_pool,1200,26,0.021666666666666667,5.627759406199822,4.914345979690552,2,0.07692307692307693,2.8335911631584167,0.0,1.2278890907764435,3.4317940175533295,4.029996871948242,24,2,90
best_diagnostic_m2p5_r0_g0p7,run_bucket,random_off_policy,1202,57,0.04742096505823627,3.621058731748347,3.5625,0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,345
best_diagnostic_m2p5_r0_g0p7,predicted_bucket,natural,1202,75,0.06239600665557404,6.163606643676758,4.715543746948242,1,0.013333333333333334,0.3492259979248047,0.0,0.0,0.090798759460451,0.3492259979248047,74,1,79
best_diagnostic_m2p5_r0_g0p7,predicted_bucket,predicted_high_regret,1202,51,0.042429284525790346,3.1999585792130114,2.709376096725464,10,0.19607843137254902,1.5359548211097718,1.0049433708190918,1.5059053301811218,4.008325576782227,5.772463798522949,41,10,179
best_diagnostic_m2p5_r0_g0p7,predicted_bucket,predicted_low_margin,1200,27,0.0225,4.861638391459429,3.669950485229492,0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,125
best_diagnostic_m2p5_r0_g0p7,predicted_bucket,predicted_teacher_disagreement,1200,26,0.021666666666666667,5.627759406199822,4.914345979690552,2,0.07692307692307693,2.8335911631584167,0.0,1.2278890907764435,3.4317940175533295,4.029996871948242,24,2,90
best_diagnostic_m2p5_r0_g0p7,predicted_bucket,random_off_policy,1202,57,0.04742096505823627,3.621058731748347,3.5625,0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,345
best_diagnostic_m2p5_r0_g0p7,source_bucket_requested,unknown,6006,236,0.039294039294039296,4.701079299389305,3.7279367446899414,13,0.05508474576271186,1.6443043488722582,0.0,0.2917652726173401,2.031736689805988,5.772463798522949,223,13,818
best_diagnostic_m2p5_r0_g0p7,source_bucket_actual,unknown,6006,236,0.039294039294039296,4.701079299389305,3.7279367446899414,13,0.05508474576271186,1.6443043488722582,0.0,0.2917652726173401,2.031736689805988,5.772463798522949,223,13,818
best_diagnostic_m2p5_r0_g0p7,actual_high_regret,False,4519,18,0.00398318211993804,-0.44747375117407906,0.12398576736450195,8,0.4444444444444444,1.533309057354927,1.7307977676391606,2.5120587825775123,3.7264092540740936,4.029996871948242,10,8,99
best_diagnostic_m2p5_r0_g0p7,actual_high_regret,True,1487,218,0.14660390047074648,5.126189184298209,3.9175020456314087,5,0.022935779816513763,1.8218968152999877,0.0,0.0,0.8934714174270526,5.772463798522949,213,5,719
best_diagnostic_m2p5_r0_g0p7,actual_low_margin,False,3386,139,0.04105138806851742,5.501740144311095,4.530192852020264,6,0.04316546762589928,0.632731298605601,0.0,0.0,0.7557707691192657,1.5010370016098022,133,6,516
best_diagnostic_m2p5_r0_g0p7,actual_low_margin,True,2620,97,0.037022900763358776,3.553740562851896,3.36759090423584,7,0.07216494845360824,2.5113669633865356,0.0,1.4493062973022452,4.099695549011217,5.772463798522949,90,7,302
best_diagnostic_m2p5_r0_g0p7,actual_teacher_disagreement,False,2350,3,0.001276595744680851,-1.343665639559428,-1.5010370016098022,3,1.0,1.343665639559428,2.0955572843551638,2.169872319698334,2.2293243479728697,2.244187355041504,0,3,0
best_diagnostic_m2p5_r0_g0p7,actual_teacher_disagreement,True,3656,233,0.0637308533916849,4.778908633367187,3.751953125,10,0.04291845493562232,1.734495961666107,0.0,0.0,1.5967336797714242,5.772463798522949,223,10,818
