config_id,bucket_type,bucket,override_count,avg_gain_on_override,false_positive_count,p95_loss,decision_count
m2.5_r0_g0.925,no_override_reason,below_stage8_margin,0,,,,1003
m2.5_r0_g0.925,no_override_reason,same_as_baseline,0,,,,948
m2.5_r0_g0.925,no_override_reason,below_gate_threshold,0,,,,43
m2.5_r0_g0.925,no_override_reason,,6,,,,6
m2.5_r0_g0.925,override_fired,False,0,,,,1994
m2.5_r0_g0.925,override_fired,True,6,,,,6
m2.5_r0_g0.925,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.925,bucket_group,predicted_high_regret,20,2.02907555103302,5,2.4206011772155787,
m2.5_r0_g0.925,bucket_group,predicted_low_margin,14,4.160865264279502,0,0.0,
m2.5_r0_g0.925,bucket_group,predicted_teacher_disagreement,12,6.963037729263306,0,0.0,
m2.5_r0_g0.925,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.925,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.5_r0_g0.925,actual_high_regret,True,113,4.664867371584462,3,0.0,
m2.5_r0_g0.925,actual_low_margin,False,61,5.255941402716715,2,0.0,
m2.5_r0_g0.925,actual_low_margin,True,59,3.4527103072505887,4,0.9993138790130588,
m2.5_r0_g0.925,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.925,actual_teacher_disagreement,True,119,4.424928748307108,5,0.0,
m2.5_r0_g0.925,no_override_reason,same_as_baseline,0,,,,914
m2.5_r0_g0.925,no_override_reason,below_stage8_margin,0,,,,1035
m2.5_r0_g0.925,no_override_reason,below_gate_threshold,0,,,,43
m2.5_r0_g0.925,no_override_reason,,8,,,,8
m2.5_r0_g0.925,override_fired,False,0,,,,1992
m2.5_r0_g0.925,override_fired,True,8,,,,8
m2.5_r0_g0.7,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.7,bucket_group,predicted_high_regret,24,1.8277684549490611,5,2.122650170326231,
m2.5_r0_g0.7,bucket_group,predicted_low_margin,15,4.042831762631734,0,0.0,
m2.5_r0_g0.7,bucket_group,predicted_teacher_disagreement,13,6.117419683016264,1,1.611998748779291,
m2.5_r0_g0.7,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.7,actual_high_regret,False,10,-0.6052136540412902,4,3.226382589340208,
m2.5_r0_g0.7,actual_high_regret,True,116,4.586377310341802,3,0.0,
m2.5_r0_g0.7,actual_low_margin,False,64,5.076071321964264,2,0.0,
