state_index,audit_groups,rank_high_mc,original_index,action,high_mc_ev,high_mc_se,mc512_ev,mc512_se,predicted_ev,predicted_delta,predicted_delta_reference,predicted_rank_score,is_baseline,is_stage8_candidate,is_model_top1,is_teacher_mc512_best,is_high_mc_best
13644,fired_teacher,3,11,"7h->bottom,8h->bottom; discard=Qh",7.998400478515625,0.2689326621789862,7.70045675,0.7585566176741718,7.485726356506348,6.367294788360596,6.232034206390381,-0.8756484985351562,False,False,False,False,False
13644,fired_teacher,4,10,"7h->bottom,8h->middle; discard=Qh",-0.407630306640625,0.26748856310666314,-1.0767167421875,0.7499350442822784,-1.0338661670684814,0.019548892974853516,-0.033206939697265625,-5.494634628295898,True,False,False,False,False
13644,fired_teacher,5,1,"Qh->middle,7h->bottom; discard=8h",-0.474367115234375,0.26795202030364956,-1.4665005546875,0.754352496098292,-1.8845603466033936,-0.26987552642822266,-0.20944547653198242,-6.4996514320373535,False,False,False,False,False
13644,fired_teacher,6,5,"Qh->middle,8h->bottom; discard=7h",-1.5516915849609374,0.2670123719060718,-2.2499744296875,0.7537809196692474,-3.12105131149292,-1.2142539024353027,-1.2007546424865723,-6.585425853729248,False,False,False,False,False
13644,fired_teacher,7,9,"7h->middle,8h->bottom; discard=Qh",-1.7108338115234374,0.2668115314419424,-2.547578234375,0.7450591373685327,-2.984428882598877,-2.0343146324157715,-2.0201656818389893,-6.921092987060547,False,False,False,False,False
13644,fired_teacher,8,2,"Qh->bottom,7h->middle; discard=8h",-2.319124548828125,0.268706000040954,-3.3763571171874998,0.7431457991195266,-3.5203237533569336,-3.1411490440368652,-3.20281982421875,-8.197813034057617,False,False,False,False,False
13644,fired_teacher,9,6,"Qh->bottom,8h->middle; discard=7h",-2.336912970703125,0.2675451013007839,-3.2322464609375,0.7447621161418888,-3.0851447582244873,-2.2364068031311035,-2.3425068855285645,-7.4765777587890625,False,False,False,False,False
13644,fired_teacher,10,8,"7h->middle,8h->middle; discard=Qh",-6.2123816796875,0.23318220502262269,-6.6986687265625,0.6907871344317349,-6.589939594268799,-7.042398452758789,-7.070649147033691,-11.144405364990234,False,False,False,False,False
13644,fired_teacher,11,0,"Qh->middle,7h->middle; discard=8h",-6.370264676757812,0.23189574192592793,-6.4967305859375,0.6845809862709797,-7.074102401733398,-6.731531620025635,-6.748780250549316,-11.42410659790039,False,False,False,False,False
13644,fired_teacher,12,4,"Qh->middle,8h->middle; discard=7h",-6.412548896484375,0.23173999638918974,-6.748263117187499,0.687572578002357,-7.145332336425781,-6.198896884918213,-6.285688400268555,-10.855863571166992,False,False,False,False,False
12978,fired_teacher,1,10,"Ad->top,9c->bottom; discard=Tc",13.364768270507811,0.288269597338507,13.6846273984375,0.8319177454040437,12.89066219329834,6.4915032386779785,6.482375621795654,0.28653573989868164,False,True,True,True,True
12978,fired_teacher,2,1,"Ad->top,Tc->middle; discard=9c",9.072917403320313,0.3021451996389348,9.6234181171875,0.852369454471555,5.527106285095215,2.570772647857666,2.815211772918701,-2.2695696353912354,False,False,False,False,False
12978,fired_teacher,3,9,"Ad->top,9c->middle; discard=Tc",8.74439883984375,0.3014406871178805,9.6097462421875,0.8165514090442646,4.421486854553223,1.284848690032959,1.4747023582458496,-3.424539089202881,False,False,False,False,False
12978,fired_teacher,4,8,"Ad->top,9c->top; discard=Tc",7.035792270507812,0.3003171085103366,7.7783603515625,0.8387538772809529,3.939809799194336,1.0531558990478516,1.1981573104858398,-3.7510852813720703,False,False,False,False,False
12978,fired_teacher,5,0,"Ad->top,Tc->top; discard=9c",6.91046639453125,0.3004793000263448,7.5838515781249995,0.8498581624843978,3.7690162658691406,1.50071382522583,1.6563992500305176,-3.760378360748291,False,False,False,False,False
12978,fired_teacher,6,21,"Tc->middle,9c->bottom; discard=Ad",4.5361847421875,0.25848750623986194,4.60060040625,0.7484115367124117,4.708497047424316,1.3929500579833984,1.691258430480957,-1.777775764465332,False,False,False,False,False
12978,fired_teacher,7,13,"Ad->middle,9c->bottom; discard=Tc",3.6774280712890626,0.24663560565581194,3.6964908359375,0.7088780538516517,5.029356002807617,0.3746061325073242,0.7191925048828125,-2.3443522453308105,True,False,False,False,False
12978,fired_teacher,8,18,"Tc->top,9c->bottom; discard=Ad",3.58026840234375,0.24729541358061866,3.72896515625,0.6944847221320215,4.0649261474609375,0.5333189964294434,0.7707786560058594,-2.969374179840088,False,False,False,False,False
12978,fired_teacher,9,20,"Tc->middle,9c->middle; discard=Ad",1.474129169921875,0.25304975012635855,1.9543407968750002,0.7224289315960268,0.1118769645690918,-1.4034397602081299,-1.1002769470214844,-4.809024333953857,False,False,False,False,False
12978,fired_teacher,10,19,"Tc->middle,9c->top; discard=Ad",1.0548933115234376,0.2456477560558742,1.2142937265625,0.6838913864753576,-0.05783224105834961,-1.860992193222046,-1.5167927742004395,-4.518435478210449,False,False,False,False,False
12978,fired_teacher,11,12,"Ad->middle,9c->middle; discard=Tc",1.03420436328125,0.24317446008177696,1.204490640625,0.6927812525588921,-0.8726987838745117,-2.5666050910949707,-2.315660238265991,-5.572128772735596,False,False,False,False,False
12978,fired_teacher,12,17,"Tc->top,9c->middle; discard=Ad",1.0211925400390627,0.2449130536378059,1.26078559375,0.6800483082931545,-0.948408842086792,-2.591205596923828,-2.34665584564209,-6.057722091674805,False,False,False,False,False
12978,fired_teacher,13,4,"Ad->middle,Tc->middle; discard=9c",0.8033665283203126,0.24406147295217326,1.218162515625,0.701115472193456,-0.36731958389282227,-2.3380770683288574,-2.016758918762207,-4.893504619598389,False,False,False,False,False
12978,fired_teacher,14,11,"Ad->middle,9c->top; discard=Tc",0.6105365126953126,0.23745549558184598,0.7022667656250001,0.6567473874160549,-0.9822909832000732,-2.8118784427642822,-2.522693157196045,-5.611690998077393,False,False,False,False,False
12978,fired_teacher,15,3,"Ad->middle,Tc->top; discard=9c",0.4619600205078126,0.2383585110176765,0.7663367578125001,0.6558811138805155,-0.9047152996063232,-2.415132761001587,-2.0713539123535156,-5.139947891235352,False,False,False,False,False
12978,fired_teacher,16,16,"Tc->top,9c->top; discard=Ad",-0.9110536552734374,0.22163202898777362,-0.49948407031249986,0.6231244797557597,-2.339531183242798,-4.305609703063965,-4.16327428817749,-7.380094051361084,False,False,False,False,False
12978,fired_teacher,17,5,"Ad->middle,Tc->bottom; discard=9c",-6.952877689453125,0.19287948745729336,-7.091243484375,0.5528267214606806,-7.47946310043335,-11.294342041015625,-11.06282901763916,-13.9415864944458,False,False,False,False,False
12978,fired_teacher,18,23,"Tc->bottom,9c->middle; discard=Ad",-6.972356365234375,0.19288522549171797,-6.9084534609374995,0.5473187009835763,-7.581932067871094,-10.419596672058105,-10.255327224731445,-13.820002555847168,False,False,False,False,False
12978,fired_teacher,19,15,"Ad->bottom,9c->middle; discard=Tc",-6.9746015224609375,0.19282901068283362,-6.9240784609374995,0.5484226401013584,-7.313441276550293,-9.681257247924805,-9.478717803955078,-12.815019607543945,False,False,False,False,False
12978,fired_teacher,20,6,"Ad->bottom,Tc->top; discard=9c",-6.9946689453125,0.19324965563332872,-6.7643428046875,0.5477621392796347,-7.479193687438965,-11.423439979553223,-11.294126510620117,-14.594552993774414,False,False,False,False,False
12978,fired_teacher,21,7,"Ad->bottom,Tc->middle; discard=9c",-7.031041215820312,0.19365718166857657,-7.2525491328125,0.5571573766378192,-7.047297477722168,-9.807440757751465,-9.681646347045898,-12.369303703308105,False,False,False,False,False
12978,fired_teacher,22,2,"Ad->top,Tc->bottom; discard=9c",-7.053157546875,0.19384973803602135,-7.091243484375,0.5528267214606806,-8.389213562011719,-12.340213775634766,-12.18853759765625,-16.128074645996094,False,False,False,False,False
12978,fired_teacher,23,14,"Ad->bottom,9c->top; discard=Tc",-7.070146924804687,0.19398215104797803,-7.2837991328125,0.5593677646171755,-7.3301849365234375,-10.82586669921875,-10.82050895690918,-13.708464622497559,False,False,False,False,False
12978,fired_teacher,24,22,"Tc->bottom,9c->top; discard=Ad",-7.129707872070313,0.19430200250376045,-7.1404547421875,0.553753308544592,-7.631752014160156,-11.803895950317383,-11.742256164550781,-14.825173377990723,False,False,False,False,False
